"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad Set Name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (MXN)",Ends,"Estimated ad recall lift rate","Link clicks","Unique link clicks","CTR (all)","Unique CTR (link click-through rate)",Frequency
2022-05-06,2022-05-06,Julie_Cafe,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",360,estimated_ad_recallers,1960,2098,0.038527777777778,-,-,-,13.87,2022-05-09,18.367347,3,3,0.381316,0.153061,1.070408
2022-05-05,2022-05-05,Julie_Serpent_Nude,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",590,estimated_ad_recallers,3218,3399,0.032389830508475,-,-,-,19.11,2022-05-09,18.334369,8,8,0.411886,0.248602,1.056246
2022-05-05,2022-05-05,Nadine_Negro,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",140,estimated_ad_recallers,770,804,0.029285714285714,-,-,-,4.1,2022-05-09,18.181818,,,0.124378,0,1.044156
2022-05-03,2022-05-03,Noelle_Vino,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",20,estimated_ad_recallers,110,113,0.0215,-,-,-,0.43,2022-05-09,18.181818,1,1,0.884956,0.909091,1.027273
2022-05-07,2022-05-07,Julie_Cafe,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",230,estimated_ad_recallers,1274,1326,0.038434782608696,-,-,-,8.84,2022-05-09,18.053375,6,6,0.754148,0.470958,1.040816
2022-05-07,2022-05-07,Julie_Serpent_Nude,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",430,estimated_ad_recallers,2396,2542,0.03993023255814,Average,-,-,17.17,2022-05-09,17.946578,6,6,0.275374,0.250417,1.060935
2022-05-06,2022-05-06,Julie_Serpent_Nude,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",480,estimated_ad_recallers,2739,2925,0.039416666666667,-,-,-,18.92,2022-05-09,17.524644,7,6,0.410256,0.219058,1.067908
2022-05-03,2022-05-03,Julie_Rose_Gold,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",10,estimated_ad_recallers,60,60,0.021,-,-,-,0.21,2022-05-09,16.666667,,,0,0,1
2022-05-05,2022-05-05,Julie_Rose_Gold,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",250,estimated_ad_recallers,1520,1564,0.02684,-,-,-,6.71,2022-05-09,16.447368,,,0,0,1.028947
2022-05-07,2022-05-07,Julie_Rose_Gold,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",70,estimated_ad_recallers,486,509,0.046285714285714,-,-,-,3.24,2022-05-09,14.403292,,,0,0,1.047325
2022-05-06,2022-05-06,Julie_Rose_Gold,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",60,estimated_ad_recallers,419,426,0.041,-,-,-,2.46,2022-05-09,14.319809,,,0.234742,0,1.016706
2022-05-03,2022-05-03,Julie_Cafe,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",40,estimated_ad_recallers,421,437,0.06075,-,-,-,2.43,2022-05-09,9.501188,1,1,0.228833,0.23753,1.038005
2022-05-03,2022-05-03,Nadine_Negro,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",70,estimated_ad_recallers,771,801,0.059142857142857,-,-,-,4.14,2022-05-09,9.079118,1,1,0.249688,0.129702,1.038911
2022-05-03,2022-05-03,Julie_Serpent_Red,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",1,estimated_ad_recallers,24,24,0.05,-,-,-,0.05,2022-05-09,4.166667,,,0,0,1
2022-05-02,2022-05-02,Nadine_Negro,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-05-02,2022-05-02,Noelle_Vino,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-05-02,2022-05-02,Julie_Serpent_Red,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-05-02,2022-05-02,Julie_Serpent_Nude,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-05-02,2022-05-02,Julie_Dark,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-05-02,2022-05-02,Julie_Rose_Gold,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-05-02,2022-05-02,Julie_Cafe,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-05-01,2022-05-01,Nadine_Negro,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-05-01,2022-05-01,Noelle_Vino,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-05-01,2022-05-01,Julie_Serpent_Red,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-05-01,2022-05-01,Julie_Serpent_Nude,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-05-01,2022-05-01,Julie_Dark,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
