"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad Set Name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking",Frequency,"Amount spent (MXN)",Ends,"Estimated ad recall lift rate","Link clicks","Result rate","Unique link clicks","CTR (all)","Unique CTR (link click-through rate)"
2022-05-19,2022-05-19,Nadine_Negro,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-19,2022-05-19,Noelle_Vino,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-19,2022-05-19,Julie_Serpent_Red,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-19,2022-05-19,Julie_Serpent_Nude,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-19,2022-05-19,Julie_Dark,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-19,2022-05-19,Julie_Rose_Gold,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-19,2022-05-19,Julie_Cafe,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-18,2022-05-18,Nadine_Negro,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-18,2022-05-18,Noelle_Vino,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-18,2022-05-18,Julie_Serpent_Red,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-18,2022-05-18,Julie_Serpent_Nude,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-18,2022-05-18,Julie_Dark,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-18,2022-05-18,Julie_Rose_Gold,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-18,2022-05-18,Julie_Cafe,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-17,2022-05-17,Nadine_Negro,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-17,2022-05-17,Noelle_Vino,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-17,2022-05-17,Julie_Serpent_Red,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-17,2022-05-17,Julie_Serpent_Nude,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-17,2022-05-17,Julie_Dark,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-17,2022-05-17,Julie_Rose_Gold,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-17,2022-05-17,Julie_Cafe,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-16,2022-05-16,Nadine_Negro,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-16,2022-05-16,Noelle_Vino,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-16,2022-05-16,Julie_Serpent_Red,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-16,2022-05-16,Julie_Serpent_Nude,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-16,2022-05-16,Julie_Dark,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-16,2022-05-16,Julie_Rose_Gold,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-16,2022-05-16,Julie_Cafe,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-15,2022-05-15,Nadine_Negro,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-15,2022-05-15,Noelle_Vino,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-15,2022-05-15,Julie_Serpent_Red,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-15,2022-05-15,Julie_Serpent_Nude,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-15,2022-05-15,Julie_Dark,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-15,2022-05-15,Julie_Rose_Gold,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-15,2022-05-15,Julie_Cafe,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-14,2022-05-14,Nadine_Negro,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-14,2022-05-14,Noelle_Vino,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-14,2022-05-14,Julie_Serpent_Red,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-14,2022-05-14,Julie_Serpent_Nude,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-14,2022-05-14,Julie_Dark,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-14,2022-05-14,Julie_Rose_Gold,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-14,2022-05-14,Julie_Cafe,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-13,2022-05-13,Nadine_Negro,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-13,2022-05-13,Noelle_Vino,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-13,2022-05-13,Julie_Serpent_Red,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-13,2022-05-13,Julie_Serpent_Nude,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-13,2022-05-13,Julie_Dark,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-13,2022-05-13,Julie_Rose_Gold,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-13,2022-05-13,Julie_Cafe,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-12,2022-05-12,Nadine_Negro,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-12,2022-05-12,Noelle_Vino,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-12,2022-05-12,Julie_Serpent_Red,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-12,2022-05-12,Julie_Serpent_Nude,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-12,2022-05-12,Julie_Dark,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-12,2022-05-12,Julie_Rose_Gold,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-12,2022-05-12,Julie_Cafe,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-11,2022-05-11,Nadine_Negro,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-11,2022-05-11,Noelle_Vino,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-11,2022-05-11,Julie_Serpent_Red,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-11,2022-05-11,Julie_Serpent_Nude,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-11,2022-05-11,Julie_Dark,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-11,2022-05-11,Julie_Rose_Gold,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-11,2022-05-11,Julie_Cafe,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-02,2022-05-02,Nadine_Negro,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-02,2022-05-02,Noelle_Vino,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-02,2022-05-02,Julie_Serpent_Red,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-02,2022-05-02,Julie_Serpent_Nude,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-02,2022-05-02,Julie_Dark,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-02,2022-05-02,Julie_Rose_Gold,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-02,2022-05-02,Julie_Cafe,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-01,2022-05-01,Nadine_Negro,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-01,2022-05-01,Noelle_Vino,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-01,2022-05-01,Julie_Serpent_Red,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-01,2022-05-01,Julie_Serpent_Nude,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
