"Ad name","Ad delivery","Ad Set Name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking","Amount spent (MXN)","Estimated ad recall lift rate","Link clicks","Result rate",Frequency,"Clicks (all)","Reporting starts","Reporting ends","Unique link clicks","CTR (all)","Unique CTR (link click-through rate)"
Nadine_Negro,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",400,estimated_ad_recallers,2056,2265,0.045425,-,18.17,19.455253,10,17.66004415011,1.101654,12,2022-05-06,2022-05-06,10,0.529801,0.486381
Julie_Serpent_Red,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",790,estimated_ad_recallers,4061,4357,0.037392405063291,"Below average - Bottom 35% of ads",29.54,19.453337,5,18.131742024329,1.072888,7,2022-05-07,2022-05-07,5,0.160661,0.123122
Julie_Rose_Gold,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",40,estimated_ad_recallers,207,224,0.0295,-,1.18,19.323671,,17.857142857143,1.082126,0,2022-05-04,2022-05-04,,0,0
Julie_Serpent_Nude,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",650,estimated_ad_recallers,3376,3588,0.035,"Below average - Bottom 35% of ads",22.75,19.253555,5,18.115942028986,1.062796,7,2022-05-09,2022-05-09,5,0.195095,0.148104
Julie_Serpent_Red,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",900,estimated_ad_recallers,4700,5017,0.0348,"Below average - Bottom 35% of ads",31.32,19.148936,5,17.939007374925,1.067447,11,2022-05-08,2022-05-08,5,0.219255,0.106383
Noelle_Vino,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",90,estimated_ad_recallers,476,503,0.039666666666667,-,3.57,18.907563,3,17.892644135189,1.056723,3,2022-05-07,2022-05-07,3,0.596421,0.630252
Julie_Serpent_Red,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",590,estimated_ad_recallers,3135,3367,0.036203389830508,"Below average - Bottom 35% of ads",21.36,18.819777,2,17.523017523018,1.074003,8,2022-05-06,2022-05-06,2,0.2376,0.063796
Julie_Serpent_Red,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",390,estimated_ad_recallers,2076,2247,0.032871794871795,"Below average - Bottom 35% of ads",12.82,18.786127,4,17.356475300401,1.08237,7,2022-05-05,2022-05-05,4,0.311526,0.192678
Julie_Cafe,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",260,estimated_ad_recallers,1384,1469,0.034,-,8.84,18.786127,1,17.699115044248,1.061416,1,2022-05-05,2022-05-05,1,0.068074,0.072254
Julie_Cafe,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",360,estimated_ad_recallers,1960,2098,0.038527777777778,-,13.87,18.367347,3,17.159199237369,1.070408,8,2022-05-06,2022-05-06,3,0.381316,0.153061
Julie_Serpent_Nude,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",590,estimated_ad_recallers,3218,3399,0.032389830508475,-,19.11,18.334369,8,17.35804648426,1.056246,14,2022-05-05,2022-05-05,8,0.411886,0.248602
Nadine_Negro,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",140,estimated_ad_recallers,770,804,0.029285714285714,-,4.1,18.181818,,17.412935323383,1.044156,1,2022-05-05,2022-05-05,,0.124378,0
Noelle_Vino,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",20,estimated_ad_recallers,110,113,0.0215,-,0.43,18.181818,1,17.699115044248,1.027273,1,2022-05-03,2022-05-03,1,0.884956,0.909091
Julie_Cafe,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",180,estimated_ad_recallers,991,1041,0.033944444444444,-,6.11,18.163471,,17.291066282421,1.050454,2,2022-05-09,2022-05-09,,0.192123,0
Julie_Cafe,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",230,estimated_ad_recallers,1274,1326,0.038434782608696,-,8.84,18.053375,6,17.345399698341,1.040816,10,2022-05-07,2022-05-07,6,0.754148,0.470958
Julie_Serpent_Nude,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",430,estimated_ad_recallers,2397,2543,0.03993023255814,Average,17.17,17.939091,6,16.909162406606,1.060909,7,2022-05-07,2022-05-07,6,0.275265,0.250313
Julie_Serpent_Nude,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",520,estimated_ad_recallers,2951,3119,0.036865384615385,Average,19.17,17.621145,3,16.672010259699,1.05693,8,2022-05-08,2022-05-08,3,0.256492,0.10166
Julie_Serpent_Nude,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",480,estimated_ad_recallers,2739,2925,0.039416666666667,-,18.92,17.524644,7,16.410256410256,1.067908,12,2022-05-06,2022-05-06,6,0.410256,0.219058
